Ticker,Nome,Tipo,Setor,Preço,Target Price,Upside,Score,Rating,ROE,ROIC,Margem EBITDA,Dív. Líq./EBITDA,P/L,EV/EBITDA,Div. Yield,Cresc. Receita,Vol. Médio,Ret. 3m,Ret. 6m,Score Macro,Score Qualidade,Score Valuation,Score Momentum,Score Governança,Método Val.,NIM,Cost/Income,CET1 Proxy,NPL Proxy,P/BV,Cresc. Carteira,PDD/Lucro,Fonte CET1,Fonte NPL,Dados Ref.,Dados Fonte,P/VP,Spread CDI,Consist. Div.,Tipo FII
MDNE3,MOURA DUBEUXON      NM,Ação,outros,27.28,21.24,-0.2214,55.0,Viés Ruim,0.2716,0.1463482252053927,0.2531386061067368,0.9501317394977138,4.8112874,4.245,0.173387,0.43385425020902346,993470.0,-0.10498684067093111,0.14999015046075748,50.0,82.0,30.0,47,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
VLID3,VALID       ON      NM,Ação,outros,17.2,23.73,0.3795,54.8,Neutro,0.14403,0.11971380332361749,0.2100726135395622,0.1970929266446336,5.5483875,4.021,0.098256,0.03147763722614205,431665.0,-0.13784073214214176,-0.21141584100492394,50.0,62.0,65.0,20,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
YDUQ3,YDUQS PART  ON      NM,Ação,Varejo & Consumo,8.03,15.84,0.9721,54.8,Neutro,0.03812,0.07363321387082962,0.30626088877781277,2.8052017245651184,18.25,4.677,0.141968,0.0654840672936603,3615380.0,-0.22788461273943872,-0.4118082836733141,45.2,57.0,76.0,20,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
TRIS3,TRISUL      ON      NM,Ação,Imobiliário & Construção,4.11,6.51,0.5849,54.7,Neutro,0.13177,0.07336427917810497,0.24358550293196846,1.5899775465596206,4.029412,6.019,0.265207,0.21942862864960722,301370.0,-0.2998296058530584,-0.3587238692082524,44.7,68.0,71.2,10,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
JSLG3,JSL         ON      NM,Ação,outros,5.41,7.05,0.3031,54.7,Neutro,-0.06431,0.08431724047645821,0.20465389734755318,3.858431475508214,3.0223463,5.135,0.35305,0.1697996544763527,836905.0,-0.1840121034645995,-0.08756204877592921,50.0,51.0,74.0,23,100.0,Mult(100%),,,,,,,,,,,,,,,
LREN3,LOJAS RENNERON      NM,Ação,Varejo & Consumo,14.29,16.09,0.1262,54.6,Neutro,0.14479999,0.18460650518648275,0.20592066943534398,0.5851308115411247,9.655405,6.318,0.064381,0.06052112152972322,13139645.0,-0.04632367336329435,-0.020329206343892903,45.2,72.0,33.0,65,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
ECOR3,ECORODOVIAS ON      NM,Ação,Transporte & Logística,6.89,11.64,0.6888,54.3,Neutro,0.17334,0.0902452092626923,0.44545321429696694,4.963009092381109,6.439252,5.252,0.043541,0.23872534513056043,5444730.0,-0.22131785214144672,-0.37350547514786336,46.2,60.0,67.0,25,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
VULC3,VULCABRAS   ON      NM,Ação,Varejo & Consumo,14.38,16.32,0.1346,54.3,Neutro,0.48356,0.1531287066818954,0.302536003417702,0.7526856463794488,3.6871793,5.907,0.54242,0.11958868088674746,1059120.0,-0.13581726911681502,-0.2840294533931591,45.2,82.0,43.0,30,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
NVDC34,NVIDIA CORP DRN,BDR,BDR Tech (EUA),22.6,21.47,-0.05,54.3,Neutro,1.14288,0.5455938070602555,0.6694143689392326,0.0030092976921799767,31.830988,18.968,0.000885,1.0004509499443963,4151349.45,0.13372248950875254,0.11421847350614689,48.5,97.0,6.8,72,60.0,Mult(100%),,,,,,,,,,,,,,,
CXSE3,CAIXA SEGURION      NM,Ação,outros,19.64,18.28,-0.0692,54.2,Neutro,0.31588,,0.81757003,,13.452054,12.185,0.071283,0.1335930117098778,4594365.0,0.09018702972721648,0.26017824573719084,50.0,82.0,6.8,80,100.0,Mult(100%),,,,,,,,,,,,,,,
COGN3,COGNA ON    ON      NM,Ação,Varejo & Consumo,2.34,3.3,0.4084,54.1,Neutro,0.046550002,0.04359250700160863,0.3414189907652683,2.7430754935461437,6.882353,5.649,0.081197,0.11921837835386029,22604030.0,-0.21090153361181707,-0.32997394286107506,45.2,57.0,67.0,30,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
ESPA3,ESPACOLASER ON  EG  NM,Ação,outros,6.1,9.24,0.5148,54.0,Neutro,0.011510001,0.07695736594035608,0.2570007822614217,2.16348283006643,14.186046,3.866,0.045902,0.06433841091616865,84865.5,-0.5077700567714315,-0.41902984556088707,50.0,57.0,76.0,5,100.0,Mult(100%),,,,,,,,,,,,,,,
ASAI3,ASSAI       ON      NM,Ação,Varejo & Consumo,7.65,10.04,0.3126,54.0,Neutro,0.1242,0.09709939619136088,0.07557674853357536,3.689012367807851,11.25,5.865,0.015686,0.20779053462072694,14926715.0,-0.02048653631041719,-0.18308463310074918,45.2,46.0,60.8,58,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
ODPV3,ODONTOPREV  ON      NM,Ação,outros,15.02,14.75,-0.0177,53.8,Neutro,0.46408,0.39612596058118615,0.48861500422079707,0.0007390958000077799,14.304763,8.84,0.066578,0.09281702284438298,4989855.0,0.014383011342515628,0.1521634617158636,50.0,87.0,11.0,62,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
ITSA4,ITAUSA      PN      N1,Banco,Bancos & Financeiro,12.79,11.73,-0.0827,53.7,Neutro,0.184,,,,8.414474,,0.007819,0.0017,43074545.0,-0.023607288709163843,0.10487185251928222,51.5,80.0,10.0,72,100.0,DDM(35%) + RIM(25%) + P/BV(25%) + EDCF(15%),-0.0072,0.2686,0.7982,0.0013,1.5898073,,0.0076,Proxy,Proxy,,Proxy,,,,
KLBN11,KLABIN S/A  UNT     N2,Ação,Papel & Celulose,17.13,29.14,0.7011,53.7,Neutro,0.05465,0.07766595822128744,0.5089267031048715,2.691652282419713,25.915277,7.909,0.095738,0.010941885899882209,4798090.0,-0.10734764543831099,-0.011724220195479584,45.6,57.0,56.0,45,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
